Prod,InqOrProj,ProjType,Type,Ind,IndSub,Replacement,NetValue,Date,LeadTime,CustNum,Outcome
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,25104,5/19/2015,16,452,Won
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,38247,1/22/2014,22,300,Lost
Armadillo1,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,145860,7/12/2014,24,2,Lost
Armadillo1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,30322,12/4/2014,15,528,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,6631,4/2/2015,6,506,Lost
Wolf,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,36308,2/7/2014,11,543,Lost
Wolf,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,4995,5/18/2015,6,452,Won
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,8394,9/30/2014,9,452,Lost
Badger,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,33032,2/20/2014,24,394,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,44956,11/4/2014,24,452,Won
Yak1,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,31821,1/14/2014,40,452,Lost
Bear,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,2474,2/6/2015,5,30,Won
Ox,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,13861,10/25/2014,9,30,Lost
Badger,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,12213,5/12/2014,13,30,Lost
Rhino,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,29637,1/26/2015,12,616,Lost
Ox,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,8155,3/27/2015,6,61,Won
Moose,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,126448,3/25/2014,24,452,Lost
Rhino,PROJECT,Eng/Eng,Unknown,Unknown,Unknown,No,425181,5/14/2014,20,2,Lost
Brown Bear,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,No,33633,9/22/2014,24,452,Lost
Ox,INQUIRY,Eng/Eng,OEM,General Industrial,Other General Industrial,Yes,29516,3/24/2014,10,416,Lost
Brown Bear,INQUIRY,Std/Std,Distributor,Distribution,Distributor,No,181375,3/18/2014,22,86,Won
Rhino,PROJECT,Eng/Eng,Unknown,Unknown,Unknown,No,106494,9/4/2014,16,2,Lost
Rhino,INQUIRY,Std/Std,Distributor,Distribution,Distributor,Yes,36519,10/31/2014,11,352,Lost
Moose,INQUIRY,Eng/Eng,Unknown,Unknown,Unknown,Yes,111455,4/25/2014,26,2,Lost
Rhino,INQUIRY,Eng/Eng,Distributor,Distribution,Distributor,Yes,121338,12/4/2014,16,452,Won
Horse,PROJECT,Std/Std,Export House,General Industrial,Other General Industrial,No,20426,10/6/2014,6,326,Lost
Rhino,PROJECT,Eng/Eng,OEM,Pulp & Paper,Pulp and Paper Production,No,38252,1/27/2014,16,23,Lost
